inst_id,type,name,department,address,city,state,zip
1,Academia,Islamic University of Gaza,Computer Engineering,NULL,Gaza,NULL,NULL
2,Training,Gaza Sky Geeks,NULL,NULL,Gaza,NULL,NULL
